feature,precision,recall,fbeta,category
race,0.580568720379147,0.8876811594202898,0.7020057306590258,Asian-Pac-Islander
race,0.3974358974358974,0.8611111111111112,0.543859649122807,Amer-Indian-Eskimo
race,0.42857142857142855,0.84,0.5675675675675675,Other
sex,0.5413165266106442,0.9282497748423897,0.6838438571270595,Male
sex,0.6312456016889515,0.7608142493638677,0.6900000000000001,Female
native-country,0.5508316361167686,0.9051736159531446,0.6848852545502506,United-States
native-country,0.6857142857142857,0.96,0.7999999999999999,Cuba
native-country,0.45,0.9,0.6,Jamaica
native-country,0.5846153846153846,0.95,0.7238095238095238,India
native-country,0.5308641975308642,0.8835616438356164,0.6632390745501285,?
native-country,0.47368421052631576,0.5454545454545454,0.5070422535211268,Mexico
native-country,0.4,0.875,0.5490196078431373,South
native-country,0.4,0.8333333333333334,0.5405405405405406,Puerto-Rico
native-country,1.0,1.0,1.0,Honduras
native-country,0.6410256410256411,0.8333333333333334,0.7246376811594204,England
native-country,0.7037037037037037,0.9743589743589743,0.8172043010752689,Canada
native-country,0.6774193548387096,0.9545454545454546,0.7924528301886793,Germany
native-country,0.6538461538461539,0.9444444444444444,0.7727272727272727,Iran
native-country,0.7051282051282052,0.9016393442622951,0.7913669064748202,Philippines
native-country,0.7096774193548387,0.88,0.7857142857142856,Italy
native-country,0.47619047619047616,0.8333333333333334,0.6060606060606061,Poland
native-country,0.14285714285714285,1.0,0.25,Columbia
native-country,0.75,0.8571428571428571,0.7999999999999999,Cambodia
native-country,0.75,1.0,0.8571428571428571,Thailand
native-country,0.3333333333333333,0.75,0.46153846153846156,Ecuador
native-country,0.25,0.5,0.3333333333333333,Laos
native-country,0.6785714285714286,0.95,0.7916666666666667,Taiwan
native-country,0.4,1.0,0.5714285714285715,Haiti
native-country,0.5,0.75,0.6,Portugal
native-country,0.0,0.0,0.0,Dominican-Republic
native-country,0.42857142857142855,1.0,0.6,El-Salvador
native-country,0.8571428571428571,1.0,0.923076923076923,France
native-country,0.25,0.3333333333333333,0.28571428571428575,Guatemala
native-country,0.5263157894736842,1.0,0.6896551724137931,China
native-country,0.6774193548387096,0.875,0.7636363636363636,Japan
native-country,0.4444444444444444,0.6666666666666666,0.5333333333333333,Yugoslavia
native-country,0.3333333333333333,1.0,0.5,Peru
native-country,0.0,1.0,0.0,Outlying-US(Guam-USVI-etc)
native-country,0.6,1.0,0.7499999999999999,Scotland
native-country,0.2,0.5,0.28571428571428575,Trinadad&Tobago
native-country,0.3684210526315789,0.875,0.5185185185185185,Greece
native-country,0.2,1.0,0.33333333333333337,Nicaragua
native-country,0.17647058823529413,0.6,0.2727272727272727,Vietnam
native-country,0.6,1.0,0.7499999999999999,Hong
native-country,0.8,0.8,0.8000000000000002,Ireland
native-country,0.4,0.6666666666666666,0.5,Hungary
native-country,1.0,1.0,1.0,Holand-Netherlands
